TransactionID,Timestamp,Amount,MerchantCategory,UserID,Location,UserTxFreq24h,TimeSinceLastTxUserMin
txn_normal_1860,2023-01-01 17:09:58,259.4116882864829,Supermercado,user_061,Curitiba,3,44
txn_normal_0353,2023-01-01 08:16:23,345.03951173275084,Viagem,user_061,Rio de Janeiro,4,47
txn_normal_1333,2023-01-01 08:28:09,160.0572301619162,Vestuário,user_095,Belo Horizonte,3,296
txn_normal_0905,2023-01-01 21:41:53,434.12989784643463,Supermercado,user_049,Rio de Janeiro,2,154
txn_normal_1289,2023-01-01 16:32:35,431.79732271650136,Viagem,user_093,Rio de Janeiro,2,245
txn_normal_1273,2023-01-01 10:26:36,356.2548356569776,Eletrônicos,user_035,Curitiba,4,340
txn_normal_0938,2023-01-01 19:38:17,161.64007905341444,Supermercado,user_074,Belo Horizonte,2,112
txn_normal_1731,2023-01-01 11:38:27,183.41377693379036,Eletrônicos,user_019,Rio de Janeiro,4,167
txn_normal_0065,2023-01-01 11:24:20,439.96128662825595,Viagem,user_036,Rio de Janeiro,1,196
txn_normal_1323,2023-01-01 14:29:49,442.5630328169834,Viagem,user_061,Belo Horizonte,3,58
txn_normal_0056,2023-01-01 21:27:04,17.052809428580375,Eletrônicos,user_094,Rio de Janeiro,2,208
txn_normal_1292,2023-01-01 18:40:28,341.71860863240397,Vestuário,user_067,São Paulo,4,65
txn_normal_1118,2023-01-01 20:43:26,354.13923991565633,Restaurante,user_062,Belo Horizonte,1,232
txn_normal_0584,2023-01-01 15:19:57,491.81977184104903,Viagem,user_084,Curitiba,1,32
txn_normal_0374,2023-01-01 10:32:19,489.7614196274257,Viagem,user_016,Rio de Janeiro,2,252
txn_normal_0275,2023-01-01 11:25:37,411.16645798842404,Supermercado,user_032,Belo Horizonte,1,40
txn_normal_0746,2023-01-01 08:09:36,339.4028367741554,Vestuário,user_094,Belo Horizonte,3,250
txn_normal_0128,2023-01-01 16:16:32,256.3329911453148,Supermercado,user_078,São Paulo,4,108
txn_normal_1646,2023-01-01 12:39:36,478.4496581384178,Restaurante,user_082,Rio de Janeiro,4,16
txn_normal_1852,2023-01-01 22:19:43,224.19089413260608,Eletrônicos,user_059,São Paulo,3,346
txn_normal_0674,2023-01-01 09:14:39,133.07294109871663,Supermercado,user_096,São Paulo,1,206
txn_normal_1664,2023-01-01 11:57:38,21.076175286021048,Supermercado,user_008,São Paulo,1,348
txn_anomaly_0081,2023-01-01 22:30:01,8540.259327664964,Restaurante,user_245,São Paulo,4,99
txn_normal_1083,2023-01-01 12:58:46,313.59547048527253,Eletrônicos,user_010,Belo Horizonte,2,26
txn_anomaly_0022,2023-01-01 11:49:24,22.672240526194756,Supermercado,user_238,Curitiba,14,7
